street,city,state,zip,country,Name,Location,PostalCode,Addess,InUseSince,Rating,Potential.Rating,Area,Energy.Savings,CO2.Savings,BGN.Savings,Investment,Payback,Building.Type1,Building.Type2,Lat,Lng,region
Ulitsa Tsar Svetoslav Terter,Plovdiv,Plovdiv,4023,Bulgaria,"ЦДГ ""ДЕСИСЛАВА""",гр.ПЛОВДИВ,4000,УЛ. СВЕТОСЛАВ ТЕРТЕЛ-3,1978,D,B,1834,250807,110.44,38580,338369,8.7705,Детско заведение (градини и ясли),2,42.1409149169921,24.7910823822021,SC
House Number and Street Not Found,Sofia,Sofia-City,1404,Bulgaria,"СОУ №73 ""ВЛ. ГРАМАТИК"" - ГОЛЯМ ФИЗК.САЛОН",гр.СОФИЯ,1000,УЛ. ГЕОРГИ ИЗМИРЛИЕВ-2,1969,G,C,305.7,32792,9.8,2670,53152,19.9071,"Образователни (училища, колежи и университети)",6,42.6636085510253,23.2989997863769,SW
Ulitsa Asen Zlatarov & E87,Dolni Chiflik,Varna,9110,Bulgaria,КМЕТСТВО С. СТАРО ОРЯХОВО,с.СТАРО ОРЯХОВО,9110,с.СТАРО ОРЯХОВО,1958,D,A,1329,77858,63.57,21020,148506,7.0649,Сгради за административно обслужване,1,42.9901046752929,27.7945442199707,NE
House Number and Street Not Found,Sofia,Sofia-City,1225,Bulgaria,ГАРА БИРИМИРЦИ - ПРИЕМНО ЗДАНИЕ,гр.СОФИЯ,1000,ОРЛАНДОВЦИ,1977,D,B,452,89421,61.05,18770,55060,2.9334,"Транспорт (гари, пристанища и летища)",10,42.7232246398925,23.3424739837646,SW
Ulitsa Sv. sv. Kiril i Metodiy,Avren,Varna,9135,Bulgaria,СГРАДА-ОБЩИНА АВРЕН,с.АВРЕН,9135,С. АВРЕН,1983,D,B,600.93,30953,21,7120,51210,7.1924,Сгради за административно обслужване,1,43.1126708984375,27.6673679351806,NE
House Number and Street Not Found,Svoge,Sofia,2260,Bulgaria,АДМИНИСТР. СГРАДА НА ОБЩИНА СВОГЕ,гр.СВОГЕ,2260,УЛ. АЛ. СТАМБОЛИЙСКИ-5-7,1960,E,C,618,39420,26.94,6710,74758,11.1412,Сгради за административно обслужване,1,42.9590110778808,23.3485870361328,SW
Bulevard Balgaria 80,Smolyan,Smolyan,4703,Bulgaria,СГРАДА НА ДЪРЖАВЕН  АРХИВ - СМОЛЯН,гр.СМОЛЯН,4700,БУЛ .БЪЛГАРИЯ 78,1960,E,C,1475.8,62236,42.51,10640,49109,4.6155,Сгради за административно обслужване,1,41.5795135498046,24.6924419403076,SC
Bulevard Balgaria 1,Belene,Pleven,5930,Bulgaria,"НАРОДНО ЧИТАЛИЩЕ ""ХРИСТО БОТЕВ""",гр.БЕЛЕНЕ,5930,ПЛ. БЪЛГАРИЯ 1,1964,E,C,2056,185814,381.3,37162.6,158835,4.274,Библиотеки и читалища,12,43.6502647399902,25.1294994354248,NW
Ulitsa Georgi Dimitrov,Chavdar,Sofia,2084,Bulgaria,"ЧИТАЛИЩЕ ""НАДЕЖДА"" - с. ЧАВДАР",с.ЧАВДАР,2084,с.ЧАВДАР,1935,D,B,704.38,52709,35.99,12650.28,81230.7,6.4212,Библиотеки и читалища,12,42.6599349975585,24.0561866760253,SW
House Number and Street Not Found,Dimitrovgrad,Haskovo,6400,Bulgaria,АДМИНИСТР. СГРАДА,гр.ДИМИТРОВГРАД,6400,ул. ХИМКОМБИНАТСКА 3,1951,E,C,3930,165678,135.7,16815,4000,0.2378,Сгради за административно обслужване,1,42.0550231933593,25.617841720581,SC
